date,temperature,humiditiy,luminosity
2019-12-11 14:41:04.024,22.2,,315
2019-12-11 14:41:06.302,22.2,,320
2019-12-11 14:41:08.578,22.3,,323
2019-12-11 14:41:10.855,22.2,,323
2019-12-11 14:41:13.133,22.2,,317
2019-12-11 14:41:15.411,22.2,,317
2019-12-11 14:41:17.688,22.2,,323
2019-12-11 14:41:19.966,22.2,,317
2019-12-11 14:41:22.242,22.2,,323
2019-12-11 14:41:24.520,22.2,,312
2019-12-11 14:41:26.796,22.2,,312
2019-12-11 14:41:29.077,22.2,,312
2019-12-11 14:41:31.355,22.2,,315
2019-12-11 14:41:33.633,22.2,,317
2019-12-11 14:41:35.909,22.2,,317
2019-12-11 14:41:38.187,22.2,,317
2019-12-11 14:41:40.464,22.2,,320
2019-12-11 14:41:42.742,22.2,,317
2019-12-11 14:41:45.018,22.1,,317
2019-12-11 14:41:47.296,22.1,,312
2019-12-11 14:41:49.574,22.1,,315
2019-12-11 14:41:51.850,22.2,,312
2019-12-11 14:41:54.128,22.1,,312
2019-12-11 14:41:56.406,22.2,,312
2019-12-11 14:41:58.683,22.1,,315
2019-12-11 14:42:00.959,22.1,,312
2019-12-11 14:42:03.240,22.1,,312
2019-12-11 14:42:05.517,22.1,,317
2019-12-11 14:42:07.795,22.1,,315
2019-12-11 14:42:10.073,22.1,,312
2019-12-11 14:42:12.350,22.1,,315
2019-12-11 14:42:14.626,22.1,,312
2019-12-11 14:42:16.904,22.1,,312
2019-12-11 14:42:19.181,22.1,,312
2019-12-11 14:42:21.459,22.1,,312
2019-12-11 14:42:23.736,22.1,,315
2019-12-11 14:42:26.013,22.1,,310
2019-12-11 14:42:28.291,22.1,,312
2019-12-11 14:42:30.567,22.1,,310
2019-12-11 14:42:32.846,22.1,,310
2019-12-11 14:42:35.123,22.1,,307
2019-12-11 14:42:37.401,22.1,,310
2019-12-11 14:42:39.678,22.1,,310
2019-12-11 14:42:41.954,22.1,,310
2019-12-11 14:42:44.236,22.1,,310
2019-12-11 14:42:46.513,22.2,,310
2019-12-11 14:42:48.789,22.1,,312
2019-12-11 14:42:51.067,22.1,,307
2019-12-11 14:42:53.344,22.2,,315
2019-12-11 14:42:55.622,22.1,,310
2019-12-11 14:42:57.899,22.1,,310
2019-12-11 14:43:00.176,22.1,,312
2019-12-11 14:43:02.453,22.1,,307
2019-12-11 14:43:04.731,22.2,,310
2019-12-11 14:43:07.008,22.2,,310
2019-12-11 14:43:09.286,22.2,,312
2019-12-11 14:43:11.563,22.1,,312
2019-12-11 14:43:13.840,22.1,,312
2019-12-11 14:43:16.117,22.1,,307
2019-12-11 14:43:18.394,22.1,,310
2019-12-11 14:43:20.672,22.2,,307
2019-12-11 14:43:22.949,22.2,,310
2019-12-11 14:43:25.226,22.1,,312
2019-12-11 14:43:27.505,22.2,,310
2019-12-11 14:43:29.785,22.2,,320
2019-12-11 14:43:32.062,22.1,,320
2019-12-11 14:43:34.339,22.2,,320
2019-12-11 14:43:36.616,22.2,,320
2019-12-11 14:43:38.894,22.1,,326
2019-12-11 14:43:41.173,22.1,,326
2019-12-11 14:43:43.449,22.1,,320
2019-12-11 14:43:45.725,22.2,,320
2019-12-11 14:43:48.003,22.2,,323
2019-12-11 14:43:50.280,22.2,,320
2019-12-11 14:43:52.557,22.2,,323
2019-12-11 14:43:54.835,22.2,,307
2019-12-11 14:43:57.113,22.2,,307
2019-12-11 14:43:59.389,22.2,,320
2019-12-11 14:44:01.668,22.2,,317
2019-12-11 14:44:03.944,22.2,,320
2019-12-11 14:44:06.222,22.2,,315
2019-12-11 14:44:08.498,22.2,,315
2019-12-11 14:44:10.780,22.2,,317
2019-12-11 14:44:13.057,22.2,,317
2019-12-11 14:44:15.334,22.1,,323
2019-12-11 14:44:17.612,22.2,,317
2019-12-11 14:44:19.889,22.2,,317
2019-12-11 14:44:22.166,22.2,,320
2019-12-11 14:44:24.444,22.2,,323
2019-12-11 14:44:26.721,22.2,,315
2019-12-11 14:44:28.998,22.2,,323
2019-12-11 14:44:31.276,22.1,,320
2019-12-11 14:44:33.552,22.1,,320
2019-12-11 14:44:35.829,22.2,,320
2019-12-11 14:44:38.107,22.2,,320
2019-12-11 14:44:40.385,22.2,,326
2019-12-11 14:44:42.662,22.2,,317
2019-12-11 14:44:44.939,22.2,,315
2019-12-11 14:44:47.216,22.2,,310
2019-12-11 14:44:49.494,22.2,,320
2019-12-11 14:44:51.772,22.2,,323
2019-12-11 14:44:54.053,22.2,,323
2019-12-11 14:44:56.330,22.2,,323
2019-12-11 14:44:58.608,22.2,,326
2019-12-11 14:45:00.885,22.2,,326
2019-12-11 14:45:03.162,22.2,,326
2019-12-11 14:45:05.439,22.2,,320
2019-12-11 14:45:07.716,22.2,,315
