date,temperature,humidity,luminosity
2019-12-04 15:01:55.866,22.3,32.3,280
2019-12-04 15:01:58.143,22.3,32.4,282
2019-12-04 15:02:00.421,22.4,32.5,282
2019-12-04 15:02:02.699,22.3,32.5,284
2019-12-04 15:02:04.975,22.3,32.6,284
2019-12-04 15:02:07.253,22.4,32.7,282
2019-12-04 15:02:09.529,22.3,32.6,284
2019-12-04 15:02:11.808,22.3,32.6,282
2019-12-04 15:02:14.084,22.4,32.7,284
2019-12-04 15:02:16.361,22.4,32.7,280
2019-12-04 15:02:18.639,22.4,32.8,280
2019-12-04 15:02:20.916,22.4,32.7,282
2019-12-04 15:02:23.193,22.4,32.7,284
2019-12-04 15:02:25.470,22.4,32.7,280
2019-12-04 15:02:27.748,22.4,32.6,282
2019-12-04 15:02:30.024,22.4,32.5,282
2019-12-04 15:02:32.302,22.4,32.5,282
2019-12-04 15:02:34.579,22.4,32.5,280
2019-12-04 15:02:36.857,22.4,32.5,282
2019-12-04 15:02:39.134,22.4,32.5,282
2019-12-04 15:02:41.413,22.4,32.5,282
2019-12-04 15:02:43.689,22.4,32.5,282
2019-12-04 15:02:45.966,22.4,32.5,284
2019-12-04 15:02:48.243,22.4,32.4,280
2019-12-04 15:02:50.521,22.4,32.4,280
2019-12-04 15:02:52.798,22.3,32.4,284
2019-12-04 15:02:55.075,22.3,32.4,282
2019-12-04 15:02:57.353,22.4,32.5,282
2019-12-04 15:02:59.629,22.3,32.4,282
2019-12-04 15:03:01.908,22.3,32.4,282
2019-12-04 15:03:04.184,22.4,32.5,282
2019-12-04 15:03:06.461,22.3,32.4,282
2019-12-04 15:03:08.739,22.3,32.4,282
2019-12-04 15:03:11.020,22.3,32.5,282
2019-12-04 15:03:13.297,22.4,32.6,282
2019-12-04 15:03:15.575,22.3,32.6,282
2019-12-04 15:03:17.851,22.3,32.6,284
2019-12-04 15:03:20.129,22.4,32.7,282
2019-12-04 15:03:22.406,22.4,32.7,282
2019-12-04 15:03:24.684,22.3,32.6,284
2019-12-04 15:03:26.960,22.4,32.7,282
2019-12-04 15:03:29.238,22.4,32.7,280
2019-12-04 15:03:31.515,22.3,32.7,280
2019-12-04 15:03:33.793,22.4,32.8,282
2019-12-04 15:03:36.070,22.4,32.8,282
2019-12-04 15:03:38.347,22.3,32.8,282
2019-12-04 15:03:40.624,22.3,32.8,280
2019-12-04 15:03:42.902,22.4,32.9,282
