date,temperature,humidity,luminosity
2019-11-27 16:55:06.261,24.2,33.8,275
2019-11-27 16:55:03.984,24.2,33.8,277
2019-11-27 16:55:01.711,24.3,33.8,275
2019-11-27 16:54:59.433,24.2,33.8,275
2019-11-27 16:54:57.160,24.2,33.8,275
2019-11-27 16:54:54.883,24.2,33.8,277
2019-11-27 16:54:52.606,24.2,33.8,277
2019-11-27 16:54:50.333,24.3,33.9,277
2019-11-27 16:54:48.055,24.2,33.8,275
2019-11-27 16:54:45.778,24.2,33.8,280
2019-11-27 16:54:43.505,24.3,33.9,277
2019-11-27 16:54:41.228,24.2,33.9,275
2019-11-27 16:54:38.951,24.2,33.9,277
2019-11-27 16:54:36.677,24.2,33.9,277
2019-11-27 16:54:34.400,24.3,34.0,275
2019-11-27 16:54:32.122,24.2,33.9,273
2019-11-27 16:54:29.849,24.2,33.9,273
2019-11-27 16:54:27.572,24.2,33.9,277
2019-11-27 16:54:25.295,24.2,33.9,275
2019-11-27 16:54:23.022,24.2,33.9,275
2019-11-27 16:54:20.744,24.2,33.9,275
2019-11-27 16:54:18.471,24.2,33.9,275
2019-11-27 16:54:16.195,24.2,33.9,273
2019-11-27 16:54:13.916,24.2,33.9,271
2019-11-27 16:54:11.644,24.2,33.9,273
2019-11-27 16:54:09.366,24.3,34.1,273
2019-11-27 16:54:07.089,24.2,34.1,273
2019-11-27 16:54:04.816,24.2,34.1,273
2019-11-27 16:54:02.539,24.2,34.2,273
2019-11-27 16:54:00.260,24.2,34.3,277
2019-11-27 16:53:57.986,24.2,34.4,269
2019-11-27 16:53:55.710,24.2,34.4,271
2019-11-27 16:53:53.432,24.2,34.3,273
2019-11-27 16:53:51.159,24.2,34.2,271
2019-11-27 16:53:48.882,24.2,34.3,271
2019-11-27 16:53:46.604,24.2,34.3,269
2019-11-27 16:53:44.332,24.2,34.3,271
2019-11-27 16:53:42.054,24.2,34.2,267
2019-11-27 16:53:39.777,24.2,34.2,269
2019-11-27 16:53:37.504,24.2,34.1,269
2019-11-27 16:53:35.226,24.2,34.2,269
2019-11-27 16:53:32.949,24.2,34.2,275
2019-11-27 16:53:30.677,24.2,34.3,275
2019-11-27 16:53:28.399,24.2,34.3,271
2019-11-27 16:53:26.125,24.2,34.3,273
2019-11-27 16:53:23.848,24.3,34.4,277
2019-11-27 16:53:21.571,24.3,34.3,273
2019-11-27 16:53:19.297,24.3,34.3,273
2019-11-27 16:53:17.021,24.3,34.3,277
2019-11-27 16:53:14.743,24.2,34.1,275
2019-11-27 16:53:12.470,24.2,34.1,280
2019-11-27 16:53:10.193,24.3,34.2,275
2019-11-27 16:53:07.915,24.2,34.1,275
2019-11-27 16:53:05.642,24.2,34.1,280
2019-11-27 16:53:03.366,24.2,34.1,280
2019-11-27 16:53:01.089,24.2,34.1,273
2019-11-27 16:52:58.816,24.2,34.1,273
2019-11-27 16:52:56.538,24.2,34.2,273
2019-11-27 16:52:54.261,24.2,34.1,273
2019-11-27 16:52:51.987,24.2,34.2,271
